customer_key,customer_name,industry,vertical,address,city,county,postcode
1,University of Sheffield,Education,Public Sector,58 Mill Lane,Liverpool,Merseyside,L95 9DY
2,Harrison Martin Ltd,Financial Services,SMB,24 Church Road,London,Greater London,EC30 1TW
3,Lee Turner Solutions,Hospitality,Enterprise,151 Park Lane,Cambridge,Cambridgeshire,CB1 7FZ
4,Edwards Johnson Solutions,Transport & Logistics,SMB,27 Station Road,Nottingham,Nottinghamshire,NG49 6DM
5,Williams Hill UK,Manufacturing,Enterprise,97 Station Road,Leeds,West Yorkshire,LS71 6KX
6,Taylor Williams and Co,Hospitality,Enterprise,198 Park Lane,Liverpool,Merseyside,L11 7HD
7,Hill Patel Group,Professional Services,SMB,91 Church Road,Cardiff,Wales,CF86 2JZ
8,Lee White Group,Retail,Enterprise,98 Park Lane,Cambridge,Cambridgeshire,CB82 4ZU
9,Brown Thompson Ltd,Construction,Enterprise,103 Park Lane,Nottingham,Nottinghamshire,NG9 6GV
10,Morris Wood and Co,Technology,SMB,37 Park Lane,Cambridge,Cambridgeshire,CB18 9HU
11,Harrison Martin International,Manufacturing,Enterprise,93 Church Road,Belfast,Northern Ireland,BT18 2TS
12,Evans Johnson and Co,Healthcare,Enterprise,175 Queens Road,Edinburgh,Scotland,EH77 7CN
13,Clark Hughes UK,Charity,SMB,175 Innovation Drive,London,Greater London,EC15 5YU
14,Evans Green Services,Transport & Logistics,SMB,117 High Street,Edinburgh,Scotland,EH93 3JT
15,Wilson Hall and Co,Insurance,Enterprise,156 Church Road,Brighton,East Sussex,BN20 9MF
16,Smith Morgan Associates,Recruitment,SMB,5 Station Road,Oxford,Oxfordshire,OX47 1KH
17,Baker Davies PLC,Manufacturing,SMB,18 Commerce Way,Oxford,Oxfordshire,OX69 8EE
18,Hughes Clark International,Retail,Enterprise,55 Technology Park,Reading,Berkshire,RG70 5ZG
19,Patel Networks Group,MSP,Partner,31 Church Road,Cambridge,Cambridgeshire,CB29 1CL
20,Harrison Thompson Ltd,Technology,Enterprise,182 Business Park,Birmingham,West Midlands,B8 1HC
21,Taylor Moore Solutions,Transport & Logistics,SMB,172 Kings Road,Sheffield,South Yorkshire,S28 8UE
22,Ward Turner Solutions,Manufacturing,SMB,25 Business Park,Leeds,West Yorkshire,LS56 7MP
23,Brown Wilson Ltd,Charity,SMB,187 Victoria Road,Belfast,Northern Ireland,BT14 4HG
24,Cooper Thomas Services,Media & Entertainment,Enterprise,72 Kings Road,Edinburgh,Scotland,EH32 9CR
25,Brown Lee Ltd,Financial Services,Enterprise,193 Enterprise Road,Birmingham,West Midlands,B31 8FP
26,Robinson Wood Ltd,Real Estate,SMB,98 High Street,Edinburgh,Scotland,EH50 5JR
27,King Morris Group,Central Government,Public Sector,76 Church Road,Bristol,Avon,BS8 1VU
28,Brown Brown International,Construction,Enterprise,129 Technology Park,Oxford,Oxfordshire,OX68 9FB
29,Walker Taylor International,Financial Services,SMB,173 Enterprise Road,Birmingham,West Midlands,B31 4ND
30,Davies Turner and Co,Healthcare,SMB,145 Market Street,Milton Keynes,Buckinghamshire,MK41 6JG
31,Hughes Wood Group,Manufacturing,SMB,118 Victoria Road,Newcastle,Tyne and Wear,NE97 8CA
32,Taylor Lee Solutions,Financial Services,Enterprise,68 Mill Lane,Brighton,East Sussex,BN45 6CH
33,Roberts Cooper UK,Professional Services,Enterprise,157 Commerce Way,Newcastle,Tyne and Wear,NE84 9TA
34,Wilson Thomas Partners,Construction,SMB,28 Innovation Drive,Leeds,West Yorkshire,LS71 5EJ
35,Harris Robinson and Co,Technology,SMB,130 Kings Road,Sheffield,South Yorkshire,S33 7BC
36,Williams Smith Associates,Professional Services,SMB,164 Park Lane,Glasgow,Scotland,G21 7RU
37,Evans Taylor LLP,Legal Services,SMB,140 High Street,Glasgow,Scotland,G48 3VU
38,Thomas Williams Partners,Central Government,Public Sector,11 Technology Park,Cardiff,Wales,CF46 4GY
39,Clarke King Services,Financial Services,Enterprise,192 Mill Lane,Coventry,West Midlands,CV31 7FF
40,Walker Harris Services,Legal Services,Enterprise,69 Mill Lane,Liverpool,Merseyside,L90 1DN
41,Thompson Wright Holdings,Real Estate,SMB,79 Enterprise Road,Cardiff,Wales,CF30 4HA
42,Harris IT Solutions Ltd,MSP,Partner,90 Business Park,Sheffield,South Yorkshire,S66 9NY
43,Jones Evans Partners,Transport & Logistics,SMB,149 Park Lane,Edinburgh,Scotland,EH5 7DW
44,Lewis Martin International,Transport & Logistics,Enterprise,30 Queens Road,Brighton,East Sussex,BN74 1GJ
45,Smith Clark UK,Central Government,Public Sector,94 Queens Road,Bristol,Avon,BS9 6YL
46,Academy of Newcastle,Education,Public Sector,80 Business Park,Brighton,East Sussex,BN53 5LN
47,University of Reading,Education,Enterprise,174 Innovation Drive,Belfast,Northern Ireland,BT23 5WV
48,King Communications Partners,MSP,Partner,54 Queens Road,Newcastle,Tyne and Wear,NE75 6WX
49,Cooper Cooper and Co,Charity,SMB,131 Kings Road,Bristol,Avon,BS95 2FY
50,Moore Harris PLC,Professional Services,Enterprise,173 Park Lane,Liverpool,Merseyside,L29 1GE
51,White Ward International,Healthcare,SMB,117 Queens Road,Birmingham,West Midlands,B81 7VG
52,Wood White Group,Real Estate,Enterprise,193 Enterprise Road,London,Greater London,EC99 4DP
53,Clark Hill Ltd,Hospitality,SMB,64 Technology Park,Southampton,Hampshire,SO16 8RE
54,King Morgan Associates,Recruitment,SMB,157 Enterprise Road,Cambridge,Cambridgeshire,CB93 9TP
55,City Hospital NHS Trust,NHS Trust,Public Sector,116 Park Lane,Oxford,Oxfordshire,OX97 5HX
56,Morris White Partners,Recruitment,SMB,20 Innovation Drive,Cambridge,Cambridgeshire,CB37 6HJ
57,Lee Davies Group,Construction,Enterprise,60 Queens Road,Glasgow,Scotland,G89 4EZ
58,Turner Turner Associates,Healthcare,Public Sector,120 Queens Road,Southampton,Hampshire,SO8 7GP
59,Baker Jackson Holdings,Legal Services,Enterprise,91 Park Lane,London,Greater London,EC97 9NP
60,Morgan Thompson Holdings,Media & Entertainment,Enterprise,70 Queens Road,Liverpool,Merseyside,L63 6AN
61,Roberts Networks Ltd,MSP,Partner,137 High Street,Coventry,West Midlands,CV51 1VV
62,Martin Thomas Holdings,Financial Services,SMB,13 Park Lane,Edinburgh,Scotland,EH49 8LG
63,Harris Jackson Partners,Construction,Enterprise,65 Enterprise Road,Reading,Berkshire,RG11 9SA
64,Clarke Thompson and Co,Healthcare,Enterprise,200 Business Park,Birmingham,West Midlands,B6 4AH
65,Johnson White Group,Legal Services,Enterprise,172 Station Road,Oxford,Oxfordshire,OX73 5GR
66,Roberts Tech Group,Telecommunications,Partner,200 Enterprise Road,Leeds,West Yorkshire,LS21 1KD
67,Baker Jackson Services,Construction,SMB,20 The Green,Bristol,Avon,BS89 2XH
68,Morgan Evans International,Construction,SMB,89 Market Street,Manchester,Greater Manchester,M55 2YM
69,Harris Smith Services,Insurance,Enterprise,28 Queens Road,Oxford,Oxfordshire,OX47 3XR
70,Walker Clark and Co,Central Government,Public Sector,158 Commerce Way,Sheffield,South Yorkshire,S69 7SR
71,Lewis White PLC,Professional Services,SMB,116 Church Road,Sheffield,South Yorkshire,S97 7RV
72,Jones Morris Associates,Transport & Logistics,SMB,125 Church Road,Edinburgh,Scotland,EH46 5JL
73,King Smith UK,Professional Services,SMB,22 Church Road,Bristol,Avon,BS93 9PS
74,Ward Morris Holdings,Manufacturing,SMB,24 Park Lane,London,Greater London,EC29 4NZ
75,Harrison Patel Holdings,Construction,SMB,136 Victoria Road,Southampton,Hampshire,SO55 6UL
76,Edwards Hall Partners,Charity,SMB,31 Innovation Drive,Liverpool,Merseyside,L25 9LD
77,Wright Robinson LLP,Hospitality,SMB,71 Innovation Drive,Oxford,Oxfordshire,OX76 5TW
78,Wright Green Solutions,Financial Services,Enterprise,46 Park Lane,Cardiff,Wales,CF2 3ZU
79,Williams Brown UK,Professional Services,SMB,179 Mill Lane,Newcastle,Tyne and Wear,NE82 1SD
80,Ward Ward Holdings,Professional Services,Enterprise,48 High Street,Nottingham,Nottinghamshire,NG33 2SD
81,Morris Communications Group,MSP,Partner,39 Mill Lane,Manchester,Greater Manchester,M73 4KC
82,Academy of Reading,Education,Public Sector,153 Commerce Way,Coventry,West Midlands,CV80 7HT
83,St Marys Hospital NHS Trust,NHS Trust,Public Sector,151 Queens Road,Newcastle,Tyne and Wear,NE40 1VW
84,Robinson Robinson Partners,Financial Services,Enterprise,41 Church Road,Birmingham,West Midlands,B23 3UC
85,Turner Cooper LLP,Legal Services,SMB,121 Park Lane,Coventry,West Midlands,CV5 5HK
86,Taylor Thompson Partners,Charity,SMB,170 Commerce Way,Milton Keynes,Buckinghamshire,MK26 9PD
87,Johnson Edwards Group,Technology,Enterprise,16 Mill Lane,Birmingham,West Midlands,B40 5WV
88,Royal Hospital NHS Trust,NHS Trust,Public Sector,177 Park Lane,Cambridge,Cambridgeshire,CB90 9NJ
89,Morris Cooper PLC,Media & Entertainment,Enterprise,11 Technology Park,Coventry,West Midlands,CV56 5LW
90,Davies Thompson and Co,Legal Services,Enterprise,151 High Street,Milton Keynes,Buckinghamshire,MK98 1YJ
91,Ward Clark and Co,Hospitality,SMB,72 Mill Lane,Cambridge,Cambridgeshire,CB75 8PX
92,Ward Clarke Services,Financial Services,SMB,83 Business Park,Nottingham,Nottinghamshire,NG14 7FL
93,Green Wood UK,Real Estate,Enterprise,117 Station Road,Manchester,Greater Manchester,M41 2JL
94,Moore Communications Group,MSP,Partner,119 Queens Road,Southampton,Hampshire,SO7 6GT
95,Cooper Brown Solutions,Real Estate,Enterprise,141 Mill Lane,Sheffield,South Yorkshire,S37 8RZ
96,University of Coventry,Education,Public Sector,182 Mill Lane,Liverpool,Merseyside,L40 9UA
97,Birmingham Borough Council,Local Government,Public Sector,119 Station Road,Leeds,West Yorkshire,LS83 5ES
98,Edwards Turner Holdings,Insurance,Enterprise,63 Kings Road,Oxford,Oxfordshire,OX71 4EN
99,Thomas Taylor Partners,Insurance,Enterprise,88 Technology Park,Reading,Berkshire,RG65 5JA
100,Harrison Harrison and Co,Construction,SMB,39 Kings Road,Oxford,Oxfordshire,OX69 6SM
101,Jackson Hill Associates,Media & Entertainment,Enterprise,179 Church Road,Bristol,Avon,BS74 7NH
102,Lewis Ward LLP,Healthcare,SMB,99 Business Park,Belfast,Northern Ireland,BT84 1ES
103,Academy of Milton Keynes,Education,Enterprise,26 Enterprise Road,Nottingham,Nottinghamshire,NG57 8DT
104,Johnson Turner and Co,Legal Services,SMB,20 Kings Road,Glasgow,Scotland,G34 7LW
105,Harris Lee Services,Financial Services,SMB,161 Innovation Drive,Nottingham,Nottinghamshire,NG98 1SU
106,White Green Solutions,Healthcare,Public Sector,112 Station Road,Birmingham,West Midlands,B98 2XZ
107,City Hospital NHS Trust,NHS Trust,Public Sector,8 High Street,Newcastle,Tyne and Wear,NE42 6BK
108,Martin Telecom Ltd,Telecommunications,Partner,106 The Green,Brighton,East Sussex,BN88 3FF
109,Jackson White Holdings,Financial Services,SMB,37 Church Road,Milton Keynes,Buckinghamshire,MK60 8XJ
110,Smith Hill Partners,Manufacturing,Enterprise,41 Station Road,Southampton,Hampshire,SO57 5MV
